bundle	variable_name	qsirecon_suffix	source_file	zero_proportion	mean	stdev	median	masked_mean	masked_median	masked_stdev	subject_id	session_id	task_id	dir_id	acq_id	space_id	rec_id	run_id	bundle_source	bundle_params_id
Commissure_CorpusCallosum	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	247.17198	336.35648	90.0	247.17198	90.0	336.35648	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
Cerebellum_InferiorCerebellarPeduncleL	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	96.75614	168.15216	32.0	96.75614	32.0	168.15216	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
Cerebellum_MiddleCerebellarPeduncle	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	129.32336	213.48518	44.0	129.32336	44.0	213.48518	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
Cerebellum_CerebellumR	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	56.54217	52.901577	44.0	56.54217	44.0	52.901577	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
Cerebellum_InferiorCerebellarPeduncleR	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	107.659424	176.61453	40.0	107.659424	40.0	176.61453	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
Cerebellum_CerebellumL	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	56.29019	62.36548	38.0	56.29019	38.0	62.36548	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
Cerebellum_Vermis	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	51.64491	77.2977	22.0	51.64491	22.0	77.2977	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
Cerebellum_SuperiorCerebellarPeduncle	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	58.161873	105.181305	21.0	58.161873	21.0	105.181305	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
CranialNerve_CNVR	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	23.519796	36.96575	9.0	23.519796	9.0	36.96575	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
CranialNerve_CNVIIL	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	22.292469	32.74147	8.0	22.292469	8.0	32.74147	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
CranialNerve_CNIIL	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	42.9075	62.248928	17.0	42.9075	17.0	62.248928	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
CranialNerve_CNIIIL	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	24.790634	31.560953	10.0	24.790634	10.0	31.560953	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
CranialNerve_CNIIIR	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	18.625437	28.222254	9.0	18.625437	9.0	28.222254	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
CranialNerve_CNVL	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	52.185303	124.97545	11.0	52.185303	11.0	124.97545	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
CranialNerve_CNVIIIR	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	47.879925	74.8212	18.0	47.879925	18.0	74.8212	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
CranialNerve_CNIIR	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	55.041183	106.38701	17.0	55.041183	17.0	106.38701	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
CranialNerve_CNVIIIL	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	54.52668	89.34639	21.0	54.52668	21.0	89.34639	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
CranialNerve_CNVIIR	tdi	DSIStudio	/scratch/executivefunction/SLURM_13244013_172/job-13244013-172-sub-21554-ses-2/ds/inputs/data/qsiprep/qsiprep/sub-21554/ses-2/dwi/sub-21554_ses-2_acq-VARIANTObliquity_space-ACPC_desc-preproc_dwi.nii.gz	0.0	7.390244	7.821572	4.0	7.390244	4.0	7.821572	sub-21554	ses-2			acq-VARIANTObliquity	space-ACPC			DSIStudio	autotrackgqi
